Feature,Spearman,Pearson
Chapter 5.7 HW Avg,0.7175779664390531,0.7517006710222787
Chapter 2.5 HW Avg,0.6502261408061399,0.7644291113027396
Chapter 5.6 HW Avg,0.641858332323409,0.7736041618473815
Chapter 5.5 HW Avg,0.6276166176310746,0.7667617354632219
Chapter 4.3 HW Avg,0.6221601448543279,0.7774292815211524
Chapter 3.6 HW Avg,0.6095469332034738,0.6811478802794021
Chapter 2.1 HW Avg,0.6047851699210894,0.9356606159622137
Chapter 2.4 HW Avg,0.5984518847978352,0.8521241127962078
Chapter 5.4 HW Avg,0.5969713627869524,0.7864856792226025
Chapter 5.2 HW Avg,0.5874761315391503,0.7471968375375053
Chapter 4.2 HW Avg,0.5848994082037302,0.848225982502831
Chapter 2.2 HW Avg,0.5835746115229961,0.8338506531617981
Chapter 5.3 HW Avg,0.5761994439134196,0.7946571593248333
Chapter 1.2 HW Avg,0.5329586578516465,0.35259350061947864
Chapter 5.8 HW Avg,0.5184163542253774,0.76077622468049
Chapter 6.7 HW Avg,0.5090020687532382,0.4679359849065134
Chapter 2.3 HW Avg,0.5053670823811841,0.8043065858854949
Chapter 5.1 HW Avg,0.4746648821984461,0.7590832382716647
Chapter 4 Quiz Avg,0.46622456638010185,0.6374239021382285
Chapter 3.2 HW Avg,0.4569430591964409,0.7781688589174283
Chapter 1.3 HW Avg,0.4544138648549583,0.16977989054890055
Chapter 5.9 HW Avg,0.45189246666549293,0.7786872929113039
Chapter 4.1 HW Avg,0.4500427616366528,0.7847457217056135
Chapter 1.6 HW Avg,0.4436996045880508,0.19838582398197213
Chapter 7.2 HW Avg,0.44190826161099145,0.35870736883431215
Chapter 7.4 HW Avg,0.4411970017040171,0.5176323299939181
Chapter 1.4 HW Avg,0.42706136914625276,0.17592781046416042
Chapter 1 Quiz Avg,0.4217619132277653,0.577900853953829
Chapter 6.2 HW Avg,0.3909776767177661,0.33616149656246636
Chapter 3.1 HW Avg,0.38940685356469446,0.5445769209571817
Chapter 6.1 HW Avg,0.38659134362562725,0.27366387378895785
Chapter 5 Quiz Avg,0.36392315903421835,0.43582645156506206
Chapter 6.3 HW Avg,0.34978868899608634,0.5462584201847783
Chapter 3 Quiz Avg,0.3357929944075245,0.7395539630912767
Chapter 1.5 HW Avg,0.31688691723678325,0.1332532824245591
Chapter 7.5 HW Avg,0.28538620760084915,0.19457001594869763
Chapter 1.7 HW Avg,0.27690684987002534,0.2596217395820295
Chapter 6 Quiz Avg,0.27098333346224446,0.1916287047339101
Chapter 6.4 HW Avg,0.21819077875838433,0.35242858160377066
Chapter 2 Quiz Avg,0.19351853046156137,0.5928321071212924
Chapter 7.1 HW Avg,0.16741460189930923,0.4755613255950298
Chapter 7.3 HW Avg,0.13767422202913684,0.029979278649752673
Chapter 6.5 HW Avg,0.12983622329958883,0.15930538387227447
Chapter 1.8 HW Avg,0.11000205161213278,0.0610441616153128
Chapter 7.7 HW Avg,0.10254314239817765,0.32066999223734366
Chapter 6.8 HW Avg,-0.04618898281432634,0.1861624974365868
Chapter 6.6 HW Avg,-0.005730279307988055,0.038379938089110034
